scenariusz,iteracja,udzial_ciezarowek,tau_osobowki,tau_ciezarowki,liczba_pojazdow_exit,sredni_czas_opoznienia_s,calkowity_czas_symulacji_s
Rondo,447,0.1002,1.0597,3.1597,1538.0,1432.74,7365.0
Rondo,448,0.0819,1.1482,3.2482,1540.0,1343.56,7062.0
Rondo,449,0.1311,1.3409,3.4409,1541.0,1655.07,8265.0
Rondo,450,0.1201,1.0691,3.1691,1541.0,1442.59,7668.0
Rondo,451,0.059,1.2348,3.3348,1541.0,1255.88,6952.0
Rondo,452,0.0293,1.5436,3.6436,1539.0,1265.71,6954.0
Rondo,453,0.1456,1.7622,3.8622,1545.0,1900.39,9171.0
Rondo,454,0.0898,1.916,4.016,1538.0,1720.61,8578.0
Rondo,455,0.0237,1.6603,3.7603,1538.0,1274.04,6856.0
Rondo,456,0.1414,1.4642,3.5642,1538.0,1777.93,8679.0
Rondo,457,0.0522,1.5029,3.6029,1540.0,1360.23,7257.0
Rondo,458,0.0313,1.015,3.115,1542.0,1019.45,5856.0
Rondo,459,0.1186,1.0277,3.1277,1538.0,1465.23,7673.0
Rondo,460,0.0031,2.0267,4.1267,1540.0,1347.7,7056.0
Rondo,461,0.0981,2.4892,4.5892,1541.0,1993.52,9389.0
Rondo,462,0.0942,2.1062,4.2062,1543.0,1893.06,9174.0
Rondo,463,0.1205,1.3092,3.4092,1540.0,1596.17,8162.0
Rondo,464,0.0649,1.443,3.543,1536.0,1375.29,7258.0
Rondo,465,0.0847,1.2097,3.3097,1539.0,1393.81,7555.0
Rondo,466,0.0842,1.1869,3.2869,1541.0,1375.36,7261.0
Rondo,467,0.1465,1.7511,3.8511,1541.0,1859.93,8885.0
Rondo,468,0.0123,2.0863,4.1863,1541.0,1435.85,7555.0
Rondo,469,0.1495,1.9083,4.0083,1541.0,2019.86,9484.0
Rondo,470,0.1325,2.3866,4.4866,1541.0,2111.27,9781.0
Rondo,471,0.1082,1.6079,3.7079,1540.0,1681.14,8368.0
Rondo,472,0.1242,1.6438,3.7438,1540.0,1753.07,8570.0
Rondo,473,0.1002,1.767,3.867,1538.0,1677.6,8369.0
Rondo,474,0.1162,1.5713,3.6713,1541.0,1675.38,8381.0
Rondo,475,0.1335,1.8408,3.9408,1540.0,1882.33,8980.0
Rondo,476,0.1382,1.4238,3.5238,1537.0,1680.27,8465.0
Rondo,477,0.0215,2.4019,4.5019,1542.0,1623.23,7775.0
Rondo,478,0.1343,2.0741,4.1741,1544.0,2003.14,9485.0
Rondo,479,0.0569,2.1967,4.2967,1540.0,1720.96,8370.0
Rondo,480,0.0064,2.2443,4.3443,1540.0,1467.53,7467.0
Rondo,481,0.1034,1.4372,3.5372,1542.0,1598.26,7976.0
Rondo,482,0.0651,1.7435,3.8435,1536.0,1479.6,7662.0
Rondo,483,0.0415,1.7165,3.8165,1543.0,1393.56,7364.0
Rondo,484,0.0593,1.0238,3.1238,1541.0,1140.88,6344.0
Rondo,485,0.1309,2.2851,4.3851,1541.0,2065.35,9478.0
Rondo,486,0.0901,2.3353,4.4353,1540.0,1897.43,8978.0
Rondo,487,0.0162,1.6075,3.7075,1539.0,1226.1,6756.0
Rondo,488,0.0133,1.757,3.857,1538.0,1233.42,6750.0
Rondo,489,0.0034,1.599,3.699,1541.0,1159.97,6452.0
Rondo,490,0.0057,2.2238,4.3238,1541.0,1451.78,7458.0
Rondo,491,0.0227,1.6849,3.7849,1543.0,1279.91,6952.0
Rondo,492,0.0057,2.4258,4.5258,1541.0,1557.51,7565.0
Rondo,493,0.0018,1.5721,3.6721,1544.0,1173.38,6458.0
Rondo,494,0.0208,2.0919,4.1919,1542.0,1459.23,7567.0
Rondo,495,0.12,2.2459,4.3459,1537.0,2013.8,9290.0
Rondo,496,0.0025,2.4637,4.5637,1541.0,1544.32,7466.0
Rondo,497,0.1184,2.1933,4.2933,1538.0,1980.98,9373.0
Rondo,498,0.018,1.5149,3.6149,1538.0,1239.55,6548.0
